casting_processes,casting_size_from,casting_size_to,country,employees,metals,name,state,value_added_processes,zip
Lost Foam (EPC/Full Mold),2.0,80.0,US,230.0,Aluminum Silicon (300 Series),BRP US INC,NC,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",28777.0
"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",0.0,70.0,US,350.0,"Aluminum Magnesium (500 Series),Aluminum Silicon (300 Series),Austempered Ductile Iron,Ductile Iron,Malleable Iron,Mn/Al-Si Bronze + Cu-Ni Alloys,Other Copper-Base Alloys,Red/Yellow Brass/Tin-Bronze",BUCK CO INC,PA,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Rough Machining",17566.0
Air-Set/Nobake,400.0,15000.0,US,150.0,"Ductile Iron,Gray Iron",C A LAWTON CO,WI,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining",54115.0
"Air-Set/Nobake,Centrifugal Casting,Gas-Hardened/Coldbox,Green Sand-Vertically Parted,Green Sand-Horizontally Parted",1.0,600.0,US,450.0,Gray Iron,CHARLOTTE PIPE & FOUNDRY,NC,"Coating,Finish Machining,Painting,Patternmaking,Prototyping,Rough Machining",28208.0
"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted,Permanent Mold-Gravity/Tilt Pour",1.0,5.0,US,92.0,"Aluminum Silicon (300 Series),Magnesium",EPCOR FOUNDRY,OH,"Engineering and Design,Finish Machining,Patternmaking,Rough Machining,Surface Treatments",45216.0
"Air-Set/Nobake,Diecasting,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",0.0,600.0,US,150.0,"Aluminum Silicon (300 Series),High Copper Alloys,Mn/Al-Si Bronze + Cu-Ni Alloys,Other Copper-Base Alloys,Red/Yellow Brass/Tin-Bronze",FALL RIVER FOUNDRY,WI,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",53932.0
"Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",0.5,75.0,US,120.0,"Austempered Ductile Iron,Ductile Iron",FARRAR CORP,KS,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining",67118.0
Green Sand-Vertically Parted,0.0,25.0,US,125.0,"Ductile Iron,Malleable Iron,Other Cast Irons",FRAZER & JONES,NY,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Patternmaking,Rough Machining",13221.0
"Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",0.0,75.0,US,130.0,"Austempered Ductile Iron,Ductile Iron,Gray Iron",GARTLAND FOUNDRY CO INC,IN,"Engineering and Design,Painting,Prototyping",47802.0
"Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",1.0,125.0,US,400.0,"Austempered Ductile Iron,Ductile Iron",GREDE - BISCOE,NC,"Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Rough Machining",27209.0
"Gas-Hardened/Coldbox,Green Sand-Vertically Parted",1.0,30.0,US,360.0,Ductile Iron,GREDE - BREWTON,AL,"Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Rough Machining",36426.0
"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",100.0,1900.0,US,208.0,"Ductile Iron,Gray Iron",GREDE - BROWNTOWN,WI,"Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Rough Machining",53522.0
Lost Foam (EPC/Full Mold),4.0,800.0,US,250.0,"Ductile Iron,Gray Iron",GREDE - COLUMBIANA,AL,"Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Prototyping,Rough Machining",35051.0
Green Sand-Horizontally Parted,1.0,75.0,US,440.0,"Ductile Iron,Gray Iron",GREDE - IRON MOUNTAIN,MI,"Engineering and Design,Finish Machining,Heat Treat,Painting,Rough Machining",49802.0
Green Sand-Horizontally Parted,2.0,70.0,US,190.0,"Ductile Iron,Other Cast Irons",GREDE - LIBERTY,WI,"Engineering and Design,Finish Machining,Heat Treat,Rough Machining,Surface Treatments",53213.0
"Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",50.0,200.0,US,324.0,Ductile Iron,GREDE - NEW CASTLE,IN,"Engineering and Design,Heat Treat,Painting",47362.0
"Green Sand-Vertically Parted,Green Sand-Horizontally Parted",2.0,40.0,US,550.0,Ductile Iron,GREDE - REEDSBURG,WI,"Coating,Engineering and Design,Heat Treat,Painting",53959.0
"Green Sand-Vertically Parted,Green Sand-Horizontally Parted",5.0,400.0,US,345.0,Ductile Iron,GREDE - ST CLOUD,MN,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Painting,Rough Machining",56303.0
"Air-Set/Nobake,Green Sand-Horizontally Parted",1.0,4000.0,US,14.0,"Abrasion Resistant Iron,Austempered Ductile Iron,Compacted Graphite Iron,Corrosion Resistant Iron,Ductile Iron,Gray Iron,Heat Resistant Iron,Nickel-Base,Other Cast Irons",HENRY PERKINS CO,MA,"Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",2324.0
"Air-Set/Nobake,Gas-Hardened/Coldbox",100.0,4000.0,Canada,140.0,"Austempered Ductile Iron,Ductile Iron,Gray Iron",INTEGRA CASTINGS INC,Manitoba,"Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining",0.0
Green Sand-Horizontally Parted,35.0,1250.0,US,65.0,"Compacted Graphite Iron,Ductile Iron,Gray Iron",JENCAST,KS,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Rough Machining,Surface Treatments",67337.0
"Green Sand-Horizontally Parted,Permanent Mold-Low Pressure",0.0,20.0,US,85.0,Aluminum Silicon (300 Series),LITTLESTOWN FOUNDRY INC,PA,"Assembly,Finish Machining,Heat Treat,Patternmaking,Rough Machining,Surface Treatments",17340.0
"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",1.0,1500.0,US,50.0,"Abrasion Resistant Iron,Austempered Ductile Iron,Carbon Steel,Compacted Graphite Iron,Corrosion Resistant Iron,Corrosion Resistant Steel,Ductile Iron,Gray Iron,Heat Resistant Iron,Heat Resistant Steel,Low Alloy Steel,Other Cast Irons,Other Cast Steel",LODI IRON WORKS INC,CA,"Coating,Finish Machining,Heat Treat,Painting,Patternmaking,Rough Machining",95240.0
"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",0.4,300.0,US,28.0,"Aluminum Copper (200 Series),Aluminum Magnesium (500 Series),Aluminum Silicon (300 Series),High Copper Alloys,Mn/Al-Si Bronze + Cu-Ni Alloys,Other Aluminum,Other Copper-Base Alloys,Red/Yellow Brass/Tin-Bronze,Zinc-Base",MANUFACTURER'S BRASS & ALUMINUM FOUNDRY INC,IL,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",60406.0
"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",0.25,300.0,US,100.0,"Aluminum Magnesium (500 Series),Aluminum Silicon (300 Series),Other Aluminum,Other Copper-Base Alloys,Red/Yellow Brass/Tin-Bronze",NON-FERROUS CAST ALLOYS INC,MI,"Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",49441.0
Investment Casting,0.0,0.0,US,150.0,"Aluminum Copper (200 Series),Aluminum Silicon (300 Series),Mn/Al-Si Bronze + Cu-Ni Alloys,Other Aluminum,Other Copper-Base Alloys",O'FALLON CASTING,MO,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Surface Treatments",63366.0
"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Vertically Parted",0.5,8000.0,US,165.0,"Abrasion Resistant Iron,Austempered Ductile Iron,Corrosion Resistant Iron,Ductile Iron,Gray Iron,Heat Resistant Iron",OIL CITY IRON WORKS,TX,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Rough Machining,Surface Treatments",75110.0
Shell Mold,0.0,0.0,US,140.0,Gray Iron,OSCO INDUSTRIES,OH,,45640.0
"Gas-Hardened/Coldbox,Green Sand-Vertically Parted,Green Sand-Horizontally Parted,Shell Mold",1.0,40.0,US,350.0,Gray Iron,OSCO INDUSTRIES INC,OH,"Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining",45662.0
"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",0.0,200.0,US,100.0,"Austempered Ductile Iron,Ductile Iron,Gray Iron",PIER FOUNDRY & PATTERN SHOP,MN,"Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",55107.0
Green Sand-Horizontally Parted,0.2,150.0,US,32.0,"Aluminum Copper (200 Series),Aluminum Silicon (300 Series),High Copper Alloys,Mn/Al-Si Bronze + Cu-Ni Alloys,Nickel-Base,Other Copper-Base Alloys,Red/Yellow Brass/Tin-Bronze",RICHMOND INDUSTRIES,NJ,"Engineering and Design,Finish Machining,Heat Treat,Patternmaking,Rough Machining,Surface Treatments",8810.0
Air-Set/Nobake,100.0,2500.0,US,13.0,"Abrasion Resistant Iron,Carbon Steel,Compacted Graphite Iron,Corrosion Resistant Iron,Corrosion Resistant Steel,Ductile Iron,Gray Iron,Heat Resistant Iron,Heat Resistant Steel,Low Alloy Steel",ST LOUIS PRECISION CASTING CO,MO,Heat Treat,63128.0
Air-Set/Nobake,1000.0,60000.0,US,120.0,"Abrasion Resistant Iron,Austempered Ductile Iron,Corrosion Resistant Iron,Ductile Iron,Gray Iron,Heat Resistant Iron,Other Cast Irons",ST MARYS FOUNDRY INC,OH,,45885.0
"Air-Set/Nobake,Green Sand-Horizontally Parted",5.0,10000.0,US,350.0,"Ductile Iron,Gray Iron",TB WOOD'S INC,PA,"Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Rough Machining",17201.0
,2.0,130.0,US,586.0,"Austempered Ductile Iron,Compacted Graphite Iron,Ductile Iron,Gray Iron",WAUPACA FOUNDRY INC - PLANT 1,WI,"Coating,Engineering and Design,Heat Treat,Painting,Patternmaking,Prototyping",54981.0
"Gas-Hardened/Coldbox,Green Sand-Vertically Parted",2.0,65.0,US,756.0,Ductile Iron,WAUPACA FOUNDRY INC - PLANT 4,WI,"Engineering and Design,Heat Treat,Painting,Patternmaking,Prototyping",54143.0
"Gas-Hardened/Coldbox,Green Sand-Vertically Parted",5.0,350.0,US,956.0,"Austempered Ductile Iron,Compacted Graphite Iron,Ductile Iron,Gray Iron",WAUPACA FOUNDRY INC - PLANT 5,IN,"Coating,Engineering and Design,Heat Treat,Painting,Patternmaking,Prototyping",47586.0
"Gas-Hardened/Coldbox,Green Sand-Vertically Parted",3.0,350.0,US,560.0,"Austempered Ductile Iron,Compacted Graphite Iron,Ductile Iron,Gray Iron",WAUPACA FOUNDRY INC - PLANT 6,TN,"Coating,Engineering and Design,Heat Treat,Painting,Patternmaking,Prototyping",37331.0
"Gas-Hardened/Coldbox,Green Sand-Vertically Parted",8.0,350.0,US,891.0,"Austempered Ductile Iron,Compacted Graphite Iron,Ductile Iron,Gray Iron",WAUPACA FOUNDRY INC - PLANTS 2 & 3,WI,"Coating,Engineering and Design,Heat Treat,Painting,Prototyping",54981.0
Air-Set/Nobake,1.0,15000.0,US,92.0,"Abrasion Resistant Iron,Aluminum Copper (200 Series),Carbon Steel,Corrosion Resistant Iron,Corrosion Resistant Steel,Ductile Iron,Gray Iron,Heat Resistant Iron,High Copper Alloys,Mn/Al-Si Bronze + Cu-Ni Alloys,Nickel-Base,Superalloys",WEATHERLY CASTING & MACHINE/HAZLETON CASTING,PA,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining",18255.0
"Air-Set/Nobake,Green Sand-Horizontally Parted",1.0,350.0,US,50.0,"Ductile Iron,Gray Iron",A F K CORP,WI,"Assembly,Coating,Finish Machining,Heat Treat,Painting,Rough Machining",54971.0
Green Sand-Horizontally Parted,0.0,13.0,US,75.0,Red/Yellow Brass/Tin-Bronze,A Y MCDONALD MFG CO,IA,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Painting,Rough Machining",52002.0
"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",10.0,2000.0,US,325.0,"Austempered Ductile Iron,Compacted Graphite Iron,Ductile Iron,Gray Iron",AARROWCAST INC,WI,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",54166.0
"Gas-Hardened/Coldbox,Green Sand-Horizontally Parted,Permanent Mold-Gravity/Tilt Pour",0.0,40.0,US,60.0,Aluminum Silicon (300 Series),AC FOUNDRY INC,MI,Engineering and Design,49014.0
Green Sand-Horizontally Parted,30.0,200.0,US,0.0,Gray Iron,ACCURIDE WHEEL ENDS SOLUTIONS - GUNITE,IL,"Finish Machining,Painting",61104.0
"Air-Set/Nobake,Green Sand-Vertically Parted,Green Sand-Horizontally Parted,Investment Casting,Shell Mold",0.0,0.0,US,400.0,"Abrasion Resistant Iron,Aluminum Copper (200 Series),Aluminum Magnesium (500 Series),Aluminum Silicon (300 Series),Aluminum Silicon (400 Series),Austempered Ductile Iron,Carbon Steel,Cobalt-Base,Compacted Graphite Iron,Corrosion Resistant Iron,Corrosion Resistant Steel,Ductile Iron,Gray Iron,Heat Resistant Iron,Heat Resistant Steel,High Copper Alloys,Lead,Low Alloy Steel,Magnesium,Malleable Iron,Manganese Steel,Mn/Al-Si Bronze + Cu-Ni Alloys,Nickel-Base,Other Cast Irons,Other Cast Steel,Other Copper-Base Alloys,Other Nonferrous,Red/Yellow Brass/Tin-Bronze,Superalloys,Zinc-Base",ACTECH NORTH AMERICA INC,MI,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Prototyping,Rough Machining,Surface Treatments",48108.0
"Gas-Hardened/Coldbox,Green Sand-Vertically Parted,Green Sand-Horizontally Parted",1.0,65.0,US,300.0,"Austempered Ductile Iron,Ductile Iron",ADVANCED CAST PRODUCTS,PA,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Surface Treatments",16335.0
"Air-Set/Nobake,Green Sand-Vertically Parted,Green Sand-Horizontally Parted,Permanent Mold-Gravity/Tilt Pour,Permanent Mold-Low Pressure",0.0,0.0,US,300.0,"Aluminum Magnesium (500 Series),Aluminum Silicon (300 Series),Aluminum Silicon (400 Series),Magnesium,Red/Yellow Brass/Tin-Bronze",AKRON BRASS CO,OH,,44691.0
"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted,Permanent Mold-Gravity/Tilt Pour,Permanent Mold-Low Pressure",1.0,1000.0,US,202.0,"Aluminum Magnesium (500 Series),Aluminum Silicon (300 Series)",AKRON FOUNDRY CO,OH,"Finish Machining,Heat Treat,Patternmaking,Rough Machining",44314.0
Green Sand-Horizontally Parted,0.5,50.0,US,46.0,Ductile Iron,ALABAMA CASTING LLC,AL,"Heat Treat,Rough Machining",35442.0
"Air-Set/Nobake,Green Sand-Horizontally Parted",5.0,500.0,US,45.0,Abrasion Resistant Iron,ALLIANT CASTINGS,MN,"Coating,Heat Treat,Painting,Patternmaking,Rough Machining",55987.0
"Air-Set/Nobake,Centrifugal Casting,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted,Permanent Mold-Gravity/Tilt Pour",1.0,3000.0,US,250.0,"Carbon Steel,Corrosion Resistant Iron,Corrosion Resistant Steel,Heat Resistant Iron,Heat Resistant Steel,Low Alloy Steel,Manganese Steel,Nickel-Base,Superalloys",ALLOY ENGINEERING & CASTING CO,IL,"Assembly,Engineering and Design,Finish Machining,Patternmaking,Rough Machining,Surface Treatments",61821.0
"Air-Set/Nobake,Centrifugal Casting,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted,Shell Mold",4.0,64.0,US,1000.0,"Carbon Steel,Ductile Iron,Low Alloy Steel",AMERICAN - CORPORATE,AL,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Rough Machining,Surface Treatments",35207.0
"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",30.0,3500.0,US,265.0,"Ductile Iron,Gray Iron",AMERICAN CASTINGS LLC,OK,"Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining",74361.0
"Gas-Hardened/Coldbox,Green Sand-Vertically Parted,Green Sand-Horizontally Parted",0.0,50.0,US,550.0,"Ductile Iron,Gray Iron,Malleable Iron",ANVIL INTERNATIONAL - COLUMBIA PLANT,PA,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Rough Machining,Surface Treatments",17601.0
"Air-Set/Nobake,Green Sand-Vertically Parted,Green Sand-Horizontally Parted",0.0,0.0,US,0.0,"Austempered Ductile Iron,Ductile Iron",AP WESTSHORE INC,WI,,54904.0
"Green Sand-Horizontally Parted,Investment Casting",0.0,50.0,US,36.0,"Aluminum Copper (200 Series),Aluminum Magnesium (500 Series),Aluminum Silicon (300 Series),Aluminum Silicon (400 Series),Carbon Steel,Cobalt-Base,Corrosion Resistant Steel,Heat Resistant Steel,Low Alloy Steel,Magnesium,Manganese Steel,Mn/Al-Si Bronze + Cu-Ni Alloys,Nickel-Base,Other Aluminum,Other Cast Steel,Red/Yellow Brass/Tin-Bronze,Zinc-Base",ARISTO-CAST INC,MI,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",48003.0
"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",0.1,1150.0,US,49.0,"Aluminum Magnesium (500 Series),Aluminum Silicon (300 Series),High Copper Alloys,Mn/Al-Si Bronze + Cu-Ni Alloys,Other Aluminum,Red/Yellow Brass/Tin-Bronze",ARIZONA CASTINGS II LLC,AZ,"Heat Treat,Patternmaking",85138.0
"Air-Set/Nobake,Gas-Hardened/Coldbox,Permanent Mold-Gravity/Tilt Pour,Permanent Mold-Low Pressure",5.0,100.0,US,140.0,"Aluminum Copper (200 Series),Aluminum Silicon (300 Series)",ATEK METAL TECHNOLOGIES,IA,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",50659.0
"Gas-Hardened/Coldbox,Green Sand-Vertically Parted",0.25,60.0,US,120.0,Gray Iron,ATLAS FOUNDRY CO INC,IN,"Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Rough Machining",46952.0
"Air-Set/Nobake,Gas-Hardened/Coldbox,Permanent Mold-Gravity/Tilt Pour,Permanent Mold-Low Pressure,Shell Mold",1.0,300.0,US,135.0,"Aluminum Silicon (300 Series),Austempered Ductile Iron,Corrosion Resistant Steel,Ductile Iron,Gray Iron,Mn/Al-Si Bronze + Cu-Ni Alloys,Other Copper-Base Alloys,Superalloys",AURORA METALS DIVISION LLC (HILER INDUSTRIES),IL,"Engineering and Design,Finish Machining,Prototyping,Rough Machining",60538.0
"Air-Set/Nobake,Green Sand-Horizontally Parted",0.0,5000.0,US,0.0,"Ductile Iron,Gray Iron",AUSTIN FOUNDRY CORP,WI,,53081.0
"Air-Set/Nobake,Permanent Mold-Low Pressure",0.5,1200.0,US,0.0,Aluminum Copper (200 Series),AWCCO USA INC,MI,"Engineering and Design,Finish Machining,Heat Treat,Patternmaking,Prototyping",48065.0
"Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",1.0,65.0,US,30.0,"Aluminum Silicon (300 Series),Magnesium,Mn/Al-Si Bronze + Cu-Ni Alloys,Red/Yellow Brass/Tin-Bronze",BABS FOUNDRY INC,MA,Engineering and Design,2766.0
"Air-Set/Nobake,Gas-Hardened/Coldbox",1.0,4300.0,US,125.0,"Carbon Steel,Cobalt-Base,Ductile Iron,Gray Iron,Heat Resistant Steel,Nickel-Base,Red/Yellow Brass/Tin-Bronze,Superalloys",BADGER ALLOYS INC,WI,"Engineering and Design,Finish Machining,Heat Treat,Patternmaking,Prototyping,Rough Machining,Surface Treatments",53208.0
"Air-Set/Nobake,Lost Foam (EPC/Full Mold)",1.0,3000.0,US,49.0,"Abrasion Resistant Iron,Austempered Ductile Iron,Carbon Steel,Compacted Graphite Iron,Corrosion Resistant Iron,Corrosion Resistant Steel,Ductile Iron,Gray Iron,Heat Resistant Iron,Heat Resistant Steel,Low Alloy Steel,Manganese Steel",BAHR BROS MFG INC,IN,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",46953.0
"Air-Set/Nobake,Green Sand-Horizontally Parted",0.0,200.0,US,130.0,"Austempered Ductile Iron,Compacted Graphite Iron,Ductile Iron",BAKER MANUFACTURING CO LLC,WI,"Painting,Prototyping",53536.0
"Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",0.0,100.0,US,30.0,"Aluminum Magnesium (500 Series),Aluminum Silicon (300 Series),Magnesium,Mn/Al-Si Bronze + Cu-Ni Alloys,Other Aluminum,Red/Yellow Brass/Tin-Bronze,Zinc-Base",BALL BRASS & ALUMINUM FOUNDRY,IN,"Engineering and Design,Heat Treat",46706.0
Air-Set/Nobake,1.0,5000.0,US,48.0,"Abrasion Resistant Iron,Carbon Steel,Corrosion Resistant Steel,Ductile Iron,Gray Iron,Heat Resistant Iron,Heat Resistant Steel,Low Alloy Steel,Manganese Steel",BEAVER VALLEY ALLOY FOUNDRY CO,PA,"Assembly,Finish Machining,Heat Treat,Patternmaking,Rough Machining",15061.0
"Air-Set/Nobake,Green Sand-Horizontally Parted",25.0,10000.0,US,60.0,"Abrasion Resistant Iron,Corrosion Resistant Iron,Ductile Iron,Gray Iron",BESSER CO,IA,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Rough Machining,Surface Treatments",50036.0
"Air-Set/Nobake,Centrifugal Casting,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted,Permanent Mold-Gravity/Tilt Pour,Shell Mold",0.0,650.0,US,20.0,"Aluminum Magnesium (500 Series),Aluminum Silicon (300 Series),Other Aluminum",BETRA MFG CO,NV,"Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",89706.0
Green Sand-Vertically Parted,0.0,0.0,US,0.0,Gray Iron,BINGHAM & TAYLOR CORP,VA,,22701.0
"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",5.0,700.0,Mexico,400.0,"Ductile Iron,Gray Iron",BLACKHAWK DE MEXICO,Nuevo Leon,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Prototyping",66350.0
"Green Sand-Horizontally Parted,Permanent Mold-Gravity/Tilt Pour",0.0,0.0,US,0.0,Aluminum Silicon (300 Series),BODINE ALUMINUM INC,TN,,38301.0
"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted,Permanent Mold-Gravity/Tilt Pour",0.0,150.0,US,200.0,Aluminum Silicon (300 Series),BODINE ALUMINUM INC,MO,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",63114.0
"Diecasting,Permanent Mold-Gravity/Tilt Pour,Permanent Mold-Low Pressure",12.0,40.0,US,300.0,Aluminum Silicon (300 Series),BODINE ALUMINUM INC - TROY PLANT,MO,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Rough Machining,Surface Treatments",63379.0
