Address,Casting Processes,Casting Size (From),Casting Size (To),City,Country,Employees,Fax,Metals,Name,Phone,State,Value Added Processes,Website,Zip
400 South Fourth St,"Air-Set/Nobake,Green Sand-Horizontally Parted",200,70000,Atchison,US,750,(816) 270-0799,"Carbon Steel,Corrosion Resistant Steel,Heat Resistant Steel,Low Alloy Steel","BRADKEN INC (ATCHISON, KS)",(816) 270-0700,KS,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining",http://bradken.com/our-business/engineered-products,66002
3021 S Wilkeson St,"Air-Set/Nobake,Green Sand-Vertically Parted,Green Sand-Horizontally Parted",100,45000,Tacoma,US,300,(253) 473-8710,"Carbon Steel,Corrosion Resistant Steel,Heat Resistant Steel,Low Alloy Steel,Nickel-Base,Other Cast Steel,Superalloys","BRADKEN INC (TACOMA, WA)",(253) 471-7021,WA,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",http://bradken.com/our-business/engineered-products,98409
1211 Greenwood Rd,Lost Foam (EPC/Full Mold),2,80,Spruce Pine,US,230,(828) 765-2391,Aluminum Silicon (300 Series),BRP US INC,(828) 766-1140,NC,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",http://www.brp.com,28777
897 Lancaster Pike,"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",0,70,Quarryville,US,350,(717) 284-3737,"Aluminum Magnesium (500 Series),Aluminum Silicon (300 Series),Austempered Ductile Iron,Ductile Iron,Malleable Iron,Mn/Al-Si Bronze + Cu-Ni Alloys,Other Copper-Base Alloys,Red/Yellow Brass/Tin-Bronze",BUCK CO INC,(717) 284-4114,PA,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Rough Machining",http://www.buckcompany.com,17566
1950 Enterprise Dr,Air-Set/Nobake,400,15000,Depere,US,150,(920) 337-2477,"Ductile Iron,Gray Iron",C A LAWTON CO,(920) 337-2470,WI,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining",http://www.calawton.com,54115
1335 S Clarkson St,"Air-Set/Nobake,Centrifugal Casting,Gas-Hardened/Coldbox,Green Sand-Vertically Parted,Green Sand-Horizontally Parted",1,600,Charlotte,US,450,(704) 337-2720,Gray Iron,CHARLOTTE PIPE & FOUNDRY,(704) 348-5416,NC,"Coating,Finish Machining,Painting,Patternmaking,Prototyping,Rough Machining",http://www.charlottecastings.com,28208
425 W N Bend Rd,"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted,Permanent Mold-Gravity/Tilt Pour",1,5,Cincinnati,US,92,(513) 761-0368,"Aluminum Silicon (300 Series),Magnesium",EPCOR FOUNDRY,(513) 761-1035,OH,"Engineering and Design,Finish Machining,Patternmaking,Rough Machining,Surface Treatments",http://www.epcorfoundry.com,45216
670 S Main St,"Air-Set/Nobake,Diecasting,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",0,600,Fall River,US,150,(920) 484-3410,"Aluminum Silicon (300 Series),High Copper Alloys,Mn/Al-Si Bronze + Cu-Ni Alloys,Other Copper-Base Alloys,Red/Yellow Brass/Tin-Bronze",FALL RIVER FOUNDRY,(920) 484-3311,WI,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",http://www.fallrivergroup.com,53932
142 W Burns Ave,"Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",0.5,75,Norwich,US,120,(620) 478-2200,"Austempered Ductile Iron,Ductile Iron",FARRAR CORP,(620) 478-2212,KS,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining",http://www.farrarusa.com,67118
3000 Milton Ave,Green Sand-Vertically Parted,0,25,Syracuse,US,125,(315) 468-3676,"Ductile Iron,Malleable Iron,Other Cast Irons",FRAZER & JONES,(315) 468-6251,NY,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Patternmaking,Rough Machining",http://www.frazerandjones.com,13221
330 Grant St,"Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",0,75,Terre Haute,US,130,(812) 232-7569,"Austempered Ductile Iron,Ductile Iron,Gray Iron",GARTLAND FOUNDRY CO INC,(812) 232-0226,IN,"Engineering and Design,Painting,Prototyping",http://www.gartlandfoundry.com,47802
530 E Main St,"Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",1,125,Biscoe,US,400,(910) 428-1213,"Austempered Ductile Iron,Ductile Iron",GREDE - BISCOE,(910) 428-2111,NC,"Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Rough Machining",http://www.grede.com,27209
210 Ann Ave,"Gas-Hardened/Coldbox,Green Sand-Vertically Parted",1,30,Brewton,US,360,(251) 867-0525,Ductile Iron,GREDE - BREWTON,(251) 867-5481,AL,"Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Rough Machining",http://www.grede.com,36426
N2480 County Road M,"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",100,1900,Browntown,US,208,(608) 966-3851,"Ductile Iron,Gray Iron",GREDE - BROWNTOWN,(608) 966-3261,WI,"Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Rough Machining",http://www.grede.com,53522
130 Industrial Pkwy,Lost Foam (EPC/Full Mold),4,800,Columbiana,US,250,(205) 669-5753,"Ductile Iron,Gray Iron",GREDE - COLUMBIANA,(205) 669-5700,AL,"Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Prototyping,Rough Machining",http://www.grede.com,35051
801 S Carpenter Ave,Green Sand-Horizontally Parted,1,75,Kingsford,US,440,(906) 774-7250,"Ductile Iron,Gray Iron",GREDE - IRON MOUNTAIN,(906) 779-0228,MI,"Engineering and Design,Finish Machining,Heat Treat,Painting,Rough Machining",http://www.grede.com,49802-5511
6332 W State St,Green Sand-Horizontally Parted,2,70,Wauwatosa,US,190,(414) 771-6700,"Ductile Iron,Other Cast Irons",GREDE - LIBERTY,(414) 479-8200,WI,"Engineering and Design,Finish Machining,Heat Treat,Rough Machining,Surface Treatments",http://www.grede.com,53213-2910
2700 Plum St,"Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",50,200,New Castle,US,324,(765) 521-8000,Ductile Iron,GREDE - NEW CASTLE,(765) 593-3202,IN,"Engineering and Design,Heat Treat,Painting",http://www.grede.com,47362-3045
700 Ash St,"Green Sand-Vertically Parted,Green Sand-Horizontally Parted",2,40,Reedsburg,US,550,(608) 524-6424,Ductile Iron,GREDE - REEDSBURG,(608) 524-9501,WI,"Coating,Engineering and Design,Heat Treat,Painting",http://www.grede.com,53959
5200 Foundry Cir,"Green Sand-Vertically Parted,Green Sand-Horizontally Parted",5,400,Saint Cloud,US,345,(320) 255-5200,Ductile Iron,GREDE - ST CLOUD,(320) 202-3665,MN,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Painting,Rough Machining",http://www.grede.com,56303-2032
180 Broad St,"Air-Set/Nobake,Green Sand-Horizontally Parted",1,4000,Bridgewater,US,14,(508) 697-6976,"Abrasion Resistant Iron,Austempered Ductile Iron,Compacted Graphite Iron,Corrosion Resistant Iron,Ductile Iron,Gray Iron,Heat Resistant Iron,Nickel-Base,Other Cast Irons",HENRY PERKINS CO,(508) 697-6978,MA,"Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",http://www.henryperkinsco.com,02324
200 Pacific St,"Air-Set/Nobake,Gas-Hardened/Coldbox",100,4000,Winkler,Canada,140,(204) 325-4858,"Austempered Ductile Iron,Ductile Iron,Gray Iron",INTEGRA CASTINGS INC,(204) 325-7376,Manitoba,"Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining",http://www.thectdgroup.com,R6W 4B3
1004 W 14th St,Green Sand-Horizontally Parted,35,1250,Coffeyville,US,65,(620) 251-3622,"Compacted Graphite Iron,Ductile Iron,Gray Iron",JENCAST,(800) 331-3551,KS,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Rough Machining,Surface Treatments",http://www.jencast.com,67337
150 Charles St,"Green Sand-Horizontally Parted,Permanent Mold-Low Pressure",0,20,Littlestown,US,85,(717) 359-5010,Aluminum Silicon (300 Series),LITTLESTOWN FOUNDRY INC,(717) 359-4141,PA,"Assembly,Finish Machining,Heat Treat,Patternmaking,Rough Machining,Surface Treatments",http://www.littlestownfoundry.com,17340
820 S Sacramento St,"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",1,1500,Lodi,US,50,(209) 339-1453,"Abrasion Resistant Iron,Austempered Ductile Iron,Carbon Steel,Compacted Graphite Iron,Corrosion Resistant Iron,Corrosion Resistant Steel,Ductile Iron,Gray Iron,Heat Resistant Iron,Heat Resistant Steel,Low Alloy Steel,Other Cast Irons,Other Cast Steel",LODI IRON WORKS INC,(209) 368-5395,CA,"Coating,Finish Machining,Heat Treat,Painting,Patternmaking,Rough Machining",http://www.lodiiron.com,95240
3450 West 127th St,"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",0.4,300,Blue Island,US,28,(708) 388-9926,"Aluminum Copper (200 Series),Aluminum Magnesium (500 Series),Aluminum Silicon (300 Series),High Copper Alloys,Mn/Al-Si Bronze + Cu-Ni Alloys,Other Aluminum,Other Copper-Base Alloys,Red/Yellow Brass/Tin-Bronze,Zinc-Base",MANUFACTURER'S BRASS & ALUMINUM FOUNDRY INC,(708) 388-6363,IL,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",http://www.mbaf.us,60406-1834
1146 North Gateway Blvd,"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",0.25,300,Norton Shores,US,100,(231) 799-9702,"Aluminum Magnesium (500 Series),Aluminum Silicon (300 Series),Other Aluminum,Other Copper-Base Alloys,Red/Yellow Brass/Tin-Bronze",NON-FERROUS CAST ALLOYS INC,(231) 799-0550,MI,"Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",http://www.nfca.com,49441
600 Cannonball Ln,Investment Casting,,,O'Fallon,US,150,(636) 272-6180,"Aluminum Copper (200 Series),Aluminum Silicon (300 Series),Mn/Al-Si Bronze + Cu-Ni Alloys,Other Aluminum,Other Copper-Base Alloys",O'FALLON CASTING,(636) 272-6176,MO,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Surface Treatments",http://www.ofalloncasting.com,63366
814 S Main St,"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Vertically Parted",0.5,8000,Corsicana,US,165,(903) 872-6576,"Abrasion Resistant Iron,Austempered Ductile Iron,Corrosion Resistant Iron,Ductile Iron,Gray Iron,Heat Resistant Iron",OIL CITY IRON WORKS,(903) 872-6571,TX,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Rough Machining,Surface Treatments",http://www.ociw.com,75110
165 Athens St,Shell Mold,,,Jackson,US,140,(740) 286-5311,Gray Iron,OSCO INDUSTRIES,(740) 286-5004,OH,,http://www.oscoind.com,45640
734 11th St,"Gas-Hardened/Coldbox,Green Sand-Vertically Parted,Green Sand-Horizontally Parted,Shell Mold",1,40,Portsmouth,US,350,(740) 353-1504,Gray Iron,OSCO INDUSTRIES INC,(740) 354-3183,OH,"Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining",http://www.oscoind.com,45662
51 State St,"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",0,200,St Paul,US,100,(651) 222-4185,"Austempered Ductile Iron,Ductile Iron,Gray Iron",PIER FOUNDRY & PATTERN SHOP,(651) 222-4461,MN,"Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",http://www.pierfoundry.com,55107
1 Chris Ct,Green Sand-Horizontally Parted,0.2,150,Dayton,US,32,(732) 355-1617,"Aluminum Copper (200 Series),Aluminum Silicon (300 Series),High Copper Alloys,Mn/Al-Si Bronze + Cu-Ni Alloys,Nickel-Base,Other Copper-Base Alloys,Red/Yellow Brass/Tin-Bronze",RICHMOND INDUSTRIES,(732) 355-1616,NJ,"Engineering and Design,Finish Machining,Heat Treat,Patternmaking,Rough Machining,Surface Treatments",http://www.richmond-industries.com,08810
10922 Gravois Industrial Ct,Air-Set/Nobake,100,2500,St Louis,US,13,(314) 849-2883,"Abrasion Resistant Iron,Carbon Steel,Compacted Graphite Iron,Corrosion Resistant Iron,Corrosion Resistant Steel,Ductile Iron,Gray Iron,Heat Resistant Iron,Heat Resistant Steel,Low Alloy Steel",ST LOUIS PRECISION CASTING CO,(314) 849-4080,MO,Heat Treat,http://www.stlprecision.com,63128
405 E South St,Air-Set/Nobake,1000,60000,St Marys,US,120,(419) 394-6482,"Abrasion Resistant Iron,Austempered Ductile Iron,Corrosion Resistant Iron,Ductile Iron,Gray Iron,Heat Resistant Iron,Other Cast Irons",ST MARYS FOUNDRY INC,(419) 394-3346,OH,,http://www.stmfoundry.com,45885
440 N 5th Ave,"Air-Set/Nobake,Green Sand-Horizontally Parted",5,10000,Chambersburg,US,350,(717) 263-8399,"Ductile Iron,Gray Iron",TB WOOD'S INC,(717) 264-7161,PA,"Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Rough Machining",http://www.tbwoods.com,17201
406 N Division St,,2,130,Waupaca,US,586,(715) 258-9268,"Austempered Ductile Iron,Compacted Graphite Iron,Ductile Iron,Gray Iron",WAUPACA FOUNDRY INC - PLANT 1,(715) 258-6611,WI,"Coating,Engineering and Design,Heat Treat,Painting,Patternmaking,Prototyping",http://www.waupacafoundry.com,54981
805 Ogden St,"Gas-Hardened/Coldbox,Green Sand-Vertically Parted",2,65,Marinette,US,756,(715) 735-4990,Ductile Iron,WAUPACA FOUNDRY INC - PLANT 4,(715) 735-4999,WI,"Engineering and Design,Heat Treat,Painting,Patternmaking,Prototyping",http://www.waupacafoundry.com,54143-2933
9856 State Highway 66,"Gas-Hardened/Coldbox,Green Sand-Vertically Parted",5,350,Tell City,US,956,(812) 547-0719,"Austempered Ductile Iron,Compacted Graphite Iron,Ductile Iron,Gray Iron",WAUPACA FOUNDRY INC - PLANT 5,(812) 547-0700,IN,"Coating,Engineering and Design,Heat Treat,Painting,Patternmaking,Prototyping",http://www.waupacafoundry.com,47586
134 Waupaca Dr,"Gas-Hardened/Coldbox,Green Sand-Vertically Parted",3,350,Etowah,US,560,(423) 263-6005,"Austempered Ductile Iron,Compacted Graphite Iron,Ductile Iron,Gray Iron",WAUPACA FOUNDRY INC - PLANT 6,(423) 263-6000,TN,"Coating,Engineering and Design,Heat Treat,Painting,Patternmaking,Prototyping",http://www.waupacafoundry.com,37331
1955 Brunner Dr,"Gas-Hardened/Coldbox,Green Sand-Vertically Parted",8,350,Waupaca,US,891,(715) 258-9268,"Austempered Ductile Iron,Compacted Graphite Iron,Ductile Iron,Gray Iron",WAUPACA FOUNDRY INC - PLANTS 2 & 3,(715) 258-6611,WI,"Coating,Engineering and Design,Heat Treat,Painting,Prototyping",http://www.waupacafoundry.com,54981
300 Commerce St,Air-Set/Nobake,1,15000,Weatherly,US,92,(570) 427-9895,"Abrasion Resistant Iron,Aluminum Copper (200 Series),Carbon Steel,Corrosion Resistant Iron,Corrosion Resistant Steel,Ductile Iron,Gray Iron,Heat Resistant Iron,High Copper Alloys,Mn/Al-Si Bronze + Cu-Ni Alloys,Nickel-Base,Superalloys",WEATHERLY CASTING & MACHINE/HAZLETON CASTING,(570) 427-8611,PA,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining",http://www.wecast.com,18255
300 Pacific St,"Air-Set/Nobake,Green Sand-Horizontally Parted",1,350,Ripon,US,50,(920) 748-4824,"Ductile Iron,Gray Iron",A F K CORP,(920) 748-2265,WI,"Assembly,Coating,Finish Machining,Heat Treat,Painting,Rough Machining",http://www.afkfoundry.com,54971
4800 Chavenelle Rd,Green Sand-Horizontally Parted,0,13,Dubuque,US,75,(563) 588-0720,Red/Yellow Brass/Tin-Bronze,A Y MCDONALD MFG CO,(563) 583-7311,IA,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Painting,Rough Machining",http://www.aymcdonald.com,52002-2631
2900 E Richmond St,"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",10,2000,Shawano,US,325,(715) 526-9758,"Austempered Ductile Iron,Compacted Graphite Iron,Ductile Iron,Gray Iron",AARROWCAST INC,(715) 526-3600,WI,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",http://www.aarrowcast.com,54166
1146 N Raymond Rd,"Gas-Hardened/Coldbox,Green Sand-Horizontally Parted,Permanent Mold-Gravity/Tilt Pour",0,40,Battle Creek,US,60,(269) 963-4113,Aluminum Silicon (300 Series),AC FOUNDRY INC,(269) 963-8539,MI,Engineering and Design,http://www.acfoundry.com,49014
302 Peoples Avenue,Green Sand-Horizontally Parted,30,200,Rockford,US,,,Gray Iron,ACCURIDE WHEEL ENDS SOLUTIONS - GUNITE,(815) 490-6368,IL,"Finish Machining,Painting",http://www.accuridewheelendsolutions.com,61104-7092
4343 Concourse Dr Ste 350,"Air-Set/Nobake,Green Sand-Vertically Parted,Green Sand-Horizontally Parted,Investment Casting,Shell Mold",,,Ann Arbor,US,400,(734) 913-0095,"Abrasion Resistant Iron,Aluminum Copper (200 Series),Aluminum Magnesium (500 Series),Aluminum Silicon (300 Series),Aluminum Silicon (400 Series),Austempered Ductile Iron,Carbon Steel,Cobalt-Base,Compacted Graphite Iron,Corrosion Resistant Iron,Corrosion Resistant Steel,Ductile Iron,Gray Iron,Heat Resistant Iron,Heat Resistant Steel,High Copper Alloys,Lead,Low Alloy Steel,Magnesium,Malleable Iron,Manganese Steel,Mn/Al-Si Bronze + Cu-Ni Alloys,Nickel-Base,Other Cast Irons,Other Cast Steel,Other Copper-Base Alloys,Other Nonferrous,Red/Yellow Brass/Tin-Bronze,Superalloys,Zinc-Base",ACTECH NORTH AMERICA INC,(734) 913-0091,MI,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Prototyping,Rough Machining,Surface Treatments",http://www.rapidcastings.com,48108
18771 Mill St,"Gas-Hardened/Coldbox,Green Sand-Vertically Parted,Green Sand-Horizontally Parted",1,65,Meadville,US,300,(814) 333-1118,"Austempered Ductile Iron,Ductile Iron",ADVANCED CAST PRODUCTS,(814) 724-2600,PA,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Surface Treatments",http://www.advancedcast.com,16335
343 Venture Blvd,"Air-Set/Nobake,Green Sand-Vertically Parted,Green Sand-Horizontally Parted,Permanent Mold-Gravity/Tilt Pour,Permanent Mold-Low Pressure",,,Wooster,US,300,(330) 264-2944,"Aluminum Magnesium (500 Series),Aluminum Silicon (300 Series),Aluminum Silicon (400 Series),Magnesium,Red/Yellow Brass/Tin-Bronze",AKRON BRASS CO,(330) 264-5678,OH,,http://www.akronbrass.com,44691
2728 Wingate Ave,"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted,Permanent Mold-Gravity/Tilt Pour,Permanent Mold-Low Pressure",1,1000,Akron,US,202,(330) 745-7999,"Aluminum Magnesium (500 Series),Aluminum Silicon (300 Series)",AKRON FOUNDRY CO,(330) 745-3101,OH,"Finish Machining,Heat Treat,Patternmaking,Rough Machining",http://www.akronfoundry.com,44314-1300
1185 Industrial Dr,Green Sand-Horizontally Parted,0.5,50,Aliceville,US,46,(205) 373-8629,Ductile Iron,ALABAMA CASTING LLC,(205) 373-8731,AL,"Heat Treat,Rough Machining",,35442
1200 W 3d St,"Air-Set/Nobake,Green Sand-Horizontally Parted",5,500,Winona,US,45,(507) 452-3956,Abrasion Resistant Iron,ALLIANT CASTINGS,(507) 452-2932,MN,"Coating,Heat Treat,Painting,Patternmaking,Rough Machining",http://www.alliantcastings.com,55987
1700 W Washington St,"Air-Set/Nobake,Centrifugal Casting,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted,Permanent Mold-Gravity/Tilt Pour",1,3000,Champaign,US,250,(260) 897-2525,"Carbon Steel,Corrosion Resistant Iron,Corrosion Resistant Steel,Heat Resistant Iron,Heat Resistant Steel,Low Alloy Steel,Manganese Steel,Nickel-Base,Superalloys",ALLOY ENGINEERING & CASTING CO,(260) 897-3768,IL,"Assembly,Engineering and Design,Finish Machining,Patternmaking,Rough Machining,Surface Treatments",http://www.aecco.com,61821-2493
1501 31st St Ave N,"Air-Set/Nobake,Centrifugal Casting,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted,Shell Mold",4,64,Birmingham,US,1000,(205) 488-7693,"Carbon Steel,Ductile Iron,Low Alloy Steel",AMERICAN - CORPORATE,(205) 325-7701,AL,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Rough Machining,Surface Treatments",http://www.american-usa.com,35207
5265 Hunt St,"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",30,3500,Pryor,US,265,(918) 476-4312,"Ductile Iron,Gray Iron",AMERICAN CASTINGS LLC,(918) 476-4252,OK,"Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining",http://www.americancastings.com,74361-4421
1411 Lancaster Ave,"Gas-Hardened/Coldbox,Green Sand-Vertically Parted,Green Sand-Horizontally Parted",0,50,Lancaster,US,550,(717) 684-6868,"Ductile Iron,Gray Iron,Malleable Iron",ANVIL INTERNATIONAL - COLUMBIA PLANT,(717) 684-4400,PA,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Rough Machining,Surface Treatments",http://www.anvilintl.com,17601
State Highway 91,"Air-Set/Nobake,Green Sand-Vertically Parted,Green Sand-Horizontally Parted",,,Oshkosh,US,,,"Austempered Ductile Iron,Ductile Iron",AP WESTSHORE INC,(920) 235-2001,WI,,http://www.appliedprocess.com,54904
7400 Research Dr,"Green Sand-Horizontally Parted,Investment Casting",0,50,Almont,US,36,(810) 798-2730,"Aluminum Copper (200 Series),Aluminum Magnesium (500 Series),Aluminum Silicon (300 Series),Aluminum Silicon (400 Series),Carbon Steel,Cobalt-Base,Corrosion Resistant Steel,Heat Resistant Steel,Low Alloy Steel,Magnesium,Manganese Steel,Mn/Al-Si Bronze + Cu-Ni Alloys,Nickel-Base,Other Aluminum,Other Cast Steel,Red/Yellow Brass/Tin-Bronze,Zinc-Base",ARISTO-CAST INC,(810) 798-2900,MI,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",http://www.aristo-cast.com,48003-8515
12246 N Russell Rd,"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",0.1,1150,Maricopa,US,49,(520) 568-4421,"Aluminum Magnesium (500 Series),Aluminum Silicon (300 Series),High Copper Alloys,Mn/Al-Si Bronze + Cu-Ni Alloys,Other Aluminum,Red/Yellow Brass/Tin-Bronze",ARIZONA CASTINGS II LLC,(520) 568-4122,AZ,"Heat Treat,Patternmaking",http://www.arizonacastings.com,85138
